Model,v_SV/sigma_SV,z,R_vir,M_vir,f_b,Class,HD,N_c,M_ctot,eps_III,M_c1,M_c2,q_c,v_circ
,     ,,[pc],[Msun],     ,,     ,,[Msun],     ,[Msun],[Msun],,[km/s]
I16V25,2.5,16.96,562.3,2.577E+07,0.131,      , , 3, 30955,0.0091,25432, 5394,0.212,14.042
I16V30,3.0,16.73,562.3,2.520E+07,0.123,    E3, , 1, 28997,0.0093,28997,     ,     ,13.886
I17V00,0.0,22.79,100.0,3.841E+05,0.138,   Low, , 1,  5141,0.0972, 5141,     ,     , 4.065
I17V10,1.0,18.06,316.2,5.876E+06,0.144,      , , 1,  7044,0.0083, 7044,     ,     , 8.942
I17V15,1.5,17.50,316.2,6.021E+06,0.132,      , , 1,  4376,0.0055, 4376,     ,     , 9.051
I17V20,2.0,17.72,281.8,4.470E+06,0.143,    E1, , 1,  4303,0.0067, 4303,     ,     , 8.261
I17V25,2.5,17.25,316.2,5.552E+06,0.130,      , , 3, 21318,0.0296,20138, 1108,0.055, 8.692
I17V30,3.0,16.96,316.2,5.597E+06,0.137,      , , 3, 13186,0.0173,12930,  177,0.014, 8.727
I18V00,0.0,22.02,223.9,3.695E+06,0.150,   Low, , 1,  4390,0.0079, 4390,     ,     , 8.427
I18V10,1.0,22.30,199.5,2.768E+06,0.148,    E1,Y, 1,  6007,0.0146, 6007,     ,     , 7.726
I18V15,1.5,21.27,223.9,3.585E+06,0.143,      ,Y, 1,  5512,0.0107, 5512,     ,     , 8.300
I18V20,2.0,19.33,354.8,1.058E+07,0.139,      ,Y,11, 11138,0.0076, 6821, 1151,0.169,11.324
I18V25,2.5,18.23,446.7,1.702E+07,0.135,      , , 3, 32918,0.0143,29685, 3111,0.105,12.804
I18V30,3.0,18.02,446.7,1.768E+07,0.130,      , , 3,  7632,0.0033, 3468, 2118,0.611,13.049
I19V00,0.0,21.08,177.8,1.602E+06,0.147,   Low,Y, 1,  8488,0.0361, 8488,     ,     , 6.226
I19V10,1.0,20.98,177.8,1.563E+06,0.146,    E3,Y, 1,  2814,0.0124, 2814,     ,     , 6.150
I19V15,1.5,19.19,223.9,2.700E+06,0.159,      , , 1,  4675,0.0109, 4675,     ,     , 7.204
I19V20,2.0,17.33,398.1,9.673E+06,0.146,      , , 3,  4608,0.0033, 2599, 1066,0.410,10.224
I19V25,2.5,17.01,398.1,1.038E+07,0.137,      , , 1,  6739,0.0047, 6739,     ,     ,10.591
I19V30,3.0,16.00,446.7,1.360E+07,0.137,      , , 2,  2936,0.0016, 1914, 1022,0.534,11.445
I20V00,0.0,16.52,398.1,8.400E+06,0.151,   Low, , 2, 20101,0.0158,11922, 8179,0.686, 9.528
I20V10,1.0,17.74,251.2,3.178E+06,0.128,    E1,Y, 1,  4394,0.0108, 4394,     ,     , 7.378
I20V15,1.5,16.86,316.2,4.375E+06,0.160,      , , 1, 16003,0.0228,16003,     ,     ,7.715
I20V20,2.0,15.61,354.8,5.969E+06,0.151,      , , 2, 25799,0.0286,24654, 1146,0.046, 8.508
I20V25,2.5,15.79,354.8,6.027E+06,0.128,    E2, , 1,  5324,0.0069, 5324,     ,     , 8.549
I20V30,3.0,16.49,316.2,4.599E+06,0.134,    E1, , 1,  3205,0.0052, 3205,     ,     , 7.910
